199 RED,RED
208 BURG,RED
266 PURPLE,PURP
253 PURPLE,PURP
286 BLUE,BLUE
320 TEAL,TEAL
348 GREEN,GREEN
874 GOLD,BROWN
1585 ORANGE,GRAY
BLACK,GRAY
GEM BLUE,BLUE
GEM BROWN,BROWN
RHODAMINE,RED
OTHER,SPECIFY
