BLACK,BLACK
PAULSON BLUE,BLUE
PMS 1505 BRIGHT ORANGE,BRIGHT ORANGE
BROWN,BURGUNDY
PMS 506 BURGUNDY,BURGUNDY
PAULSON BURNT ORANGE,BURNT ORANGE
GREEN,GREEN
PMS COOLGREY 7,BLACK
PMS 355 LIME GREEN,GREEN
PAULSON PURPLE,PURPLE
PAULSON RED,RED
PAULSON TEAL,TEAL
PMS 110 YELLOW,YELLOW
OTHER,SPECIFIY
