Standard,STD
Sentinel Exp,SX
Sentinel No Peek,SNP
Sentinel Tech Art,STA
Sent Tech Art II,STA2
Tech Art,TA
Tech Art II,TA2
Jumbo,JUM
Jumbo No Peek,JNP
Jumbo Tech Art,JTA
Jumbo Tech Art II,JTA2
CUSTOM,CUS
Standard No Peek,NP
Native American,NAF
